year,num_male,num_female,perc_male,perc_female
1900,0,0,0,0
1901,6,0,1,0
1902,7,0,1,0
1903,6,1,0.857142857142857,0.142857142857143
1904,5,0,1,0
1905,4,1,0.8,0.2
1906,6,0,1,0
1907,6,0,1,0
1908,8,0,1,0
1909,6,1,0.857142857142857,0.142857142857143
1910,4,0,1,0
1911,5,1,0.833333333333333,0.166666666666667
1912,6,0,1,0
1913,5,0,1,0
1914,3,0,1,0
1915,4,0,1,0
1916,1,0,1,0
1917,3,0,1,0
1918,2,0,1,0
1919,4,0,1,0
1920,5,0,1,0
1921,5,0,1,0
1922,6,0,1,0
1923,5,0,1,0
1924,3,0,1,0
1925,6,0,1,0
1926,5,1,0.833333333333333,0.166666666666667
1927,7,0,1,0
1928,3,1,0.75,0.25
1929,7,0,1,0
1930,5,0,1,0
1931,7,1,0.875,0.125
1932,5,0,1,0
1933,5,0,1,0
1934,7,0,1,0
1935,4,1,0.8,0.2
1936,8,0,1,0
1937,7,0,1,0
1938,4,1,0.8,0.2
1939,6,0,1,0
1940,0,0,0,0
1941,0,0,0,0
1942,0,0,0,0
1943,4,0,1,0
1944,5,0,1,0
1945,6,1,0.857142857142857,0.142857142857143
1946,7,1,0.875,0.125
1947,5,1,0.833333333333333,0.166666666666667
1948,4,0,1,0
1949,8,0,1,0
1950,8,0,1,0
1951,7,0,1,0
1952,7,0,1,0
1953,8,0,1,0
1954,9,0,1,0
1955,5,0,1,0
1956,10,0,1,0
1957,6,0,1,0
1958,11,0,1,0
1959,7,0,1,0
1960,6,0,1,0
1961,7,0,1,0
1962,8,0,1,0
1963,8,1,0.888888888888889,0.111111111111111
1964,7,1,0.875,0.125
1965,8,0,1,0
1966,5,1,0.833333333333333,0.166666666666667
1967,8,0,1,0
1968,7,0,1,0
1969,9,0,1,0
1970,9,0,1,0
1971,6,0,1,0
1972,11,0,1,0
1973,12,0,1,0
1974,13,0,1,0
1975,12,0,1,0
1976,7,2,0.777777777777778,0.222222222222222
1977,10,1,0.909090909090909,0.0909090909090909
1978,11,0,1,0
1979,11,1,0.916666666666667,0.0833333333333333
1980,11,0,1,0
1981,10,0,1,0
1982,8,1,0.888888888888889,0.111111111111111
1983,6,1,0.857142857142857,0.142857142857143
1984,9,0,1,0
1985,7,0,1,0
1986,10,1,0.909090909090909,0.0909090909090909
1987,10,0,1,0
1988,11,1,0.916666666666667,0.0833333333333333
1989,10,0,1,0
1990,11,0,1,0
1991,5,2,0.714285714285714,0.285714285714286
1992,7,1,0.875,0.125
1993,10,1,0.909090909090909,0.0909090909090909
1994,12,0,1,0
1995,10,1,0.909090909090909,0.0909090909090909
1996,12,1,0.923076923076923,0.0769230769230769
1997,11,1,0.916666666666667,0.0833333333333333
1998,12,0,1,0
1999,7,0,1,0
2000,13,0,1,0
2001,14,0,1,0
2002,14,0,1,0
2003,11,1,0.916666666666667,0.0833333333333333
2004,11,3,0.785714285714286,0.214285714285714
2005,15,0,1,0
2006,8,0,1,0
2007,12,1,0.923076923076923,0.0769230769230769
2008,14,1,0.933333333333333,0.0666666666666667
2009,12,6,0.666666666666667,0.333333333333333
2010,12,0,1,0
2011,13,3,0.8125,0.1875
2012,14,0,1,0
2013,14,1,0.933333333333333,0.0666666666666667
2014,13,2,0.866666666666667,0.133333333333333
2015,10,2,0.833333333333333,0.166666666666667
2016,11,0,1,0
2017,11,0,1,0
2018,9,4,0.692307692307692,0.307692307692308
2019,13,1,0.928571428571429,0.0714285714285714